# Registered context pathspecs requiring an exact source_commit boundary.
# Columns: context_path<TAB>project<TAB>owner<TAB>update_trigger_pathspecs
# GA-466: runtime freshness and task injection consume this registry as one frontier.
# New trigger rows therefore need no second detector map edit.
context/dm-signal.md	dm-signal	dm-signal-overview	context/dm-signal-terminology.md|docs/knowledge-base/terminology/disambiguation.md|docs/rule/db-operations-runbook.md
context/dm-signal-core.md	dm-signal	dm-signal-core	backend/app|backend/tests|docs/rule|context/dm-signal-terminology.md|docs/knowledge-base/terminology/disambiguation.md
context/dm-signal-frontend.md	dm-signal	dm-signal-frontend	frontend|docs/research/frontend-components.md|docs/research/frontend-api-spec.md|docs/research/frontend-deploy.md|docs/research/fe-speed-improvement-design.md
context/dm-signal-ops.md	dm-signal	dm-signal-ops	backend/app/api|backend/app/jobs|backend/app/services|backend/tests|docs/rule|cited:docs/research|render.yaml|tasks/lessons.md
context/dm-signal-research.md	dm-signal	dm-signal-research	docs/research|analysis|outputs|tasks/lessons.md|marketing-director
context/codd.md	infra	infra-codd	scripts/codd|scripts/codd_|skills/codd|skills/codd-refactor
context/memory-db-queries.md	infra	infra-memory-db-queries	scripts/memory_db_|scripts/lord_conversation_|data
context/memory-db-schema.md	infra	infra-memory-db-schema	scripts/memory_db_|scripts/lord_conversation_|data
context/obsidian-link-principles.md	infra	infra-obsidian-links	scripts/obsidian_|scripts/causal_|scripts/semantic_
context/infrastructure.md	infra	infra-platform	root-fallback
